ProductOrServiceCode,ProductOrServiceCodeText,Simple,IsService,ProductOrServiceArea,ProductServiceOrRnDarea
F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,Services,TRUE,FRS,FRS
F109,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,Services,TRUE,FRS,FRS
F110,DEV ENVIR IMPACT STMT/ASSESS,Services,TRUE,FRS,FRS
F111,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,Services,TRUE,FRS,FRS
F112,ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE,Services,TRUE,FRS,FRS
F113,ENVIRONMENTAL SYSTEMS PROTECTION- WETLANDS CONSERVATION AND SUPPORT,Services,TRUE,FRS,FRS
F114,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL LICENSING AND PERMITTING,Services,TRUE,FRS,FRS
F115,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT,Services,TRUE,FRS,FRS
F999,OTHER ENVIR SVC/STUD/SUP,Services,TRUE,FRS,FRS
G,SOCIAL SERVICES,Services,TRUE,MED,MED
G001,CARE OF REMAINS AND/OR FUNERAL SVCS,Services,TRUE,MED,MED
G002,CHAPLAIN SERVICES,Services,TRUE,MED,MED
G003,RECREATIONAL SERVICES,Services,TRUE,MED,MED
G004,SOCIAL REHABILITATION SERVICES,Services,TRUE,MED,MED
G005,GERIATRIC SERVICES,Services,TRUE,MED,MED
G006,GOVERNMENT LIFE INSURANCE PROGRAMS,Services,TRUE,MED,MED
G007,GOVT HEALTH INS PROGRAMS,Services,TRUE,MED,MED
G008,OTHER GOVERNMENT INSURANCE PROGRAMS,Services,TRUE,MED,MED
G009,NON-GOVERNMENT INSURANCE PROGRAMS,Services,TRUE,MED,MED
G010,DIR AID TRIBAL GOVT-DI (PL93-638),Services,TRUE,MED,MED
G099,OTHER SOCIAL SERVICES,Services,TRUE,MED,MED
H110,QUALITY CONTROL SERVICES: WEAPONS,Services,TRUE,PAMS,PAMS
H111,QUALITY CONT SV/NUCLEAR ORDNANCE,Services,TRUE,PAMS,PAMS
H112,QUALITY CONT SV/FIRE CONTROL EQ,Services,TRUE,PAMS,PAMS
H113,QUALITY CONT SV/AMMO & EXPLOSIVES,Services,TRUE,PAMS,PAMS
H114,QUALITY CONT SV/GUIDED MISSILES,Services,TRUE,PAMS,PAMS
H115,QUALITY CONT SV/AIRCRAFT,Services,TRUE,PAMS,PAMS
H116,QUALITY CONT SV/AIRCRAFT COMPONENTS,Services,TRUE,PAMS,PAMS
H117,QUALITY CONT SV/AIRCRAFT GROUND EQ,Services,TRUE,PAMS,PAMS
H118,QUALITY CONT SV/SPACE VEHICLES,Services,TRUE,PAMS,PAMS
H119,QUALITY CONT SV/SHIPS-CRAFT-DOCKS,Services,TRUE,PAMS,PAMS
H120,QUALITY CONT SV/SHIP & MARINE EQ,Services,TRUE,PAMS,PAMS
H122,QUALITY CONT SV/RAILWAY EQ,Services,TRUE,PAMS,PAMS
H123,QUALITY CONT SV/VEHICLE-TRAILER-CYC,Services,TRUE,PAMS,PAMS
H124,QUALITY CONTROL SERVICES: TRACTORS,Services,TRUE,PAMS,PAMS
H125,QUALITY CONT SV/VEHICULAR EQ,Services,TRUE,PAMS,PAMS
H126,QUALITY CONT SV/TIRES & TUBES,Services,TRUE,PAMS,PAMS
